"";"no_razao";"raiz";"Total_por_raiz"
"1";"REFINARIA DE PETROLEOS DE MANGUINHOS SA";33412081;679189090,28
"2";"REFINARIA NACIONAL DE SAL S A";60560349;66496241,85
"3";"PACIFICOS CENTRAL DISTRIBUIDORA E LOGISTICA LTDA";19453822;57817867,5
"4";"UNIAO DE LOJAS LEADER S/A";30094114;54798835,22
"5";"RIO MIX INDUSTRIA E COMERCIO DE BEBIDAS LTDA";7603478;33870829,9
"6";"RIOLEO DE VICENTE DE CARVALHO LTDA";4859082;29313745,09
"7";"ANDRADE E GARCIA COMERCIO DE COURO LTDA";17935998;27458071,33
"8";"BEL AIR MOVEIS LTDA - EPP";33552902;23034668,71
"9";"INDUSTRIA E COMERCIO DE BEBIDAS NOVA FRIBURGO LTDA";9286461;21123835,94
"10";"SBF COMERCIO DE PRODUTOS ESPORTIVOS LTDA";6347409;20227965,86
"11";"VIACAO CAICARA LTDA";11047649;19689802,81
"12";"RODOPETRO DISTRIBUIDORA DE PETROLEO LTDA";5068412;17709871,89
"13";"SOCINTER SUL COMERCIO INTERNACIONAL LTDA";39323886;16732274,21
"14";"RN COMERCIO VAREJISTA S A";13481309;16533035,53
"15";"ANTARES BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS LTDA";5315977;16496871,01
"16";"FORT RIO COMERCIO E REPRESENTACOES LTDA";6316645;15746267,64
"17";"SALES INDUSTRIA COMERCIO IMPORTACAO EXPORTACAO DE GENEROS ALIMEN";11277541;12940546,53
"18";"VITON 44 INDUSTRIA COMERCIO E EXPORTACAO DE ALIMENTOS LTDA";8146691;12649767,41
"19";"ZINZANE COMERCIO E CONFECCAO DE VESTUARIO LTDA";5027195;12603548,3
"20";"CONSERVAS RUBI S A";31667900;12108266,49
"21";"OTICAS DO POVO EIRELI";30267876;11788649,86
"22";"ALGA NEVADA COMERCIO E CONFECCOES EIRELI";21136794;11426179,8
"23";"JOLIMODE ROUPAS S A";33016494;10233968,28
"24";"LUPUS DESENVOLVIMENTO EM ALIMENTOS LTDA";11120258;9801220,83
"25";"REFRIGERANTES CONVENCAO RIO LTDA";28293066;9778880,01
"26";"MASTERCASA MOVEIS E DECORACOES EIRELI";10523760;7950241,97
"27";"PORTO DE MAR COMERCIO DE GENEROS ALIMENTICIOS LTDA";2895077;7841691,24
"28";"BRASITA CIGARROS INDUSTRIA E COMERCIO LTDA";12778043;7784924
"29";"CIA SULAMERICANA DE TABACOS";1301517;7770322,21
"30";"ANCADE INDUSTRIA E COMERCIO DE ALIMENTOS LTDA";6957007;7290233,26
"31";"CASA & VIDEO RIO DE JANEIRO S A";11114284;6711488,15
"32";"UTC ENGENHARIA SA";44023661;6601110,76
"33";"INDUSTRIA DE SABOES NEUTRAL LTDA";34166223;6545784,61
"34";"COMPRE MAIS AUTO SERVICO LTDA";10438370;6464107,28
"35";"EMPRESA DE MINERACAO DE AGUAS SANT´ANNA LTDA";4574135;6430877,43
"36";"TELEVISAO CIDADE S/A";1673744;6418234,96
"37";"GODIVA ALIMENTOS LTDA";1892202;6328698,14
"38";"IMS COMERCIAL E INDUSTRIAL LTDA";31069347;6207089,31
"39";"NOVA CASA BAHIA S/A";10757237;6136170,56
"40";"ED-ED COMERCIAL DISTRIBUIDORA DE EMBALAGENS LTDA";24092813;5934713,87
"41";"AGUA SANITARIA SUPER GLOBO LTDA";33107905;5878699,11
"42";"RG RECUPERADORA DE GORDURAS LTDA EPP";16676545;5831552,61
"43";"PACKSEVEN INDUSTRIA E COMERCIO LTDA";1352926;5820846,35
"44";"TRANSBRASILEIRA DE MADEIRAS LTDA";34150334;5758090,59
"45";"IPA - INDUSTRIA DE PRODUTOS AUTOMOTIVOS RGS LTDA";2160284;5492576,83
"46";"INDUSTRIA DE COSMETICOS CARVALHO LTDA";9006813;5388096,45
"47";"ATLANTICA INDUSTRIA E COMERCIO DE AGUAS MINERAIS LTDA";13708133;5346564,74
"48";"FIDENS ENGENHARIA S/A";5468184;5344114,99
"49";"PETROBRAS TRANSPORTE S/A TRANSPETRO";2709449;4841615,13
"50";"DIRETO COMERCIO DE MOVEIS E DECORACOES EIRELI";24304215;4592058,73
"51";"SELECT COMERCIO E REPRESENTACOES EIRELI";73271470;4499914,24
"52";"TUSSOR CONFECCOES LTDA";7681643;4411509,85
"53";"SUPER MATRIZ ACOS LTDA";750007;4320302,22
"54";"RENOVARE COMERCIO E INDUSTRIA DE MODAS EIRELI";34114900;4124120,37
"55";"RODAGRO COMERCIO E REPRESENTACOES EIRELI";30535488;4119268,67
"56";"NAVEMESTRA SERVICOS DE NAVEGACAO LTDA";14781303;4029684,41
"57";"DARTIGNY COMERCIO DE ROUPAS, EMPREENDIMENTOS E PARTICIPACOES LTD";10208453;3948906,66
"58";"TRANSPORTES N D LTDA";49057722;3906251,73
"59";"VULCAN MATERIAL PLASTICO LTDA";33066952;3893536,51
"60";"FERRAGENS 3F DO BRASIL EIRELI EPP";2464189;3880319,43
"61";"TRANSMAGNO TRANSPORTES RODOVIARIOS LTDA";28299386;3835231,07
"62";"DSR SOLUCOES E INTELIGENCIA LOGISTICA LTDA";73500167;3828943,52
"63";"INDUSTRIAS SINIMBU SA";30536619;3809295,11
"64";"FILIPERSON NACIONAL DE REFLORES IND COM DE PAPEIS ESPECIAIS S A";33584517;3777667,57
"65";"MIX DO BRASIL INDUSTRIA E COMERCIO DE ALIMENTOS EIRELI ME";9137485;3682712,78
"66";"CONCEPT STORE ARTIGOS ESPORTIVOS LTDA";9212113;3680090,35
"67";"VILA DE AROUCA COMERCIO E REPRESENTACOES LTDA";8495978;3675064,41
"68";"RAPIDO 900 DE TRANSPORTES RODOVIARIOS LTDA";60510583;3607032,47
"69";"MERCADINHO 2001 DE FRIOS E COMESTIVEIS LTDA";30034516;3477148,54
"70";"BARRAAGUA DISTRIBUIDORA DE BEBIDAS LTDA";4260610;3460836
"71";"CONDOR S/A INDUSTRIA QUIMICA";30092431;3444601,55
"72";"SAINT GERMAIN VIDROS LTDA";31530074;3406590,83
"73";"D M PERALVA DE MELLO";7669829;3389418,12
"74";"MACHADO VIANNA COMERCIO E INDUSTRIA LTDA";28934537;3333079,14
"75";"LOJAS AMERICANAS S.A.";33014556;3333020,82
"76";"SCAPINI TRANSPORTE E LOGISTICA LTDA";88078209;3275903,48
"77";"DM COMERCIO DE PESCADOS LTDA";25229090;3243578,5
"78";"ITAL EMPRESA TRANSPORTADORA LTDA";34159830;3202200
"79";"RESTOQUE COMERCIO E CONFECCOES DE ROUPAS S A";49669856;3104941,03
"80";"ATLAM OFF SHORE LTDA";27899889;3079117,17
"81";"GLOBAL INDUSTRIA E COMERCIO DE METAIS LTDA";11373988;3024274,17
"82";"CEREAIS BRAMIL LTDA";32296378;2955733,05
"83";"THIAGO ALVES DA SILVA EIRELI ME";20824618;2944451,64
"84";"ADEB LINE COMERCIO DE PRODUTOS MEDICOS LTDA ME";4624285;2934250,38
"85";"KAIROS ALIMENTOS LTDA";17932121;2909931,59
"86";"Q1 COMERCIAL DE ROUPAS S A";9044235;2890453,61
"87";"CARTA GOIAS INDUSTRIA E COMERCIO DE PAPEIS S/A";3752385;2881575,25
"88";"SENTEX INDUSTRIAL LTDA";3072791;2873962,41
"89";"CIMENTO TUPI S/A";33039223;2865699
"90";"FLORIPA INDUSTRIA E COMERCIO DE ROUPAS LTDA";11146466;2847459,73
"91";"VITORIALOG TRANSPORTES E PRESTAÇÃO DE SERVIÇOS S.A.";17801124;2838621,55
"92";"METALURGICA MOLDENOX LTDA";34294264;2818655,08
"93";"OCEANO AZUL COMERCIO DE ROUPAS LTDA";11262055;2804724,63
"94";"HARTMANN INDUSTRIA E COMERCIO DE PRODUTOS MEDICO HOSPITALARE";30667695;2794524,61
"95";"MTR LOGISTICA LTDA";7360468;2788406,5
"96";"DRACAR COMERCIO DE ALIMENTOS EIRELI";10296393;2761517,33
"97";"RIO ITA LTDA";29853942;2749130,15
"98";"ORG EMPRESARIAL BARROS E MENDES COM DE GENEROS ALIMENTICIOS LTDA";13156467;2709848,64
"99";"DISTRIBUIDORA L C CLAVERY DE MATERIAIS DE CONSTRUCAO LTDA";9296436;2664587,08
"100";"H SPORTS COMERCIO DE ARTIGOS ESPORTIVOS LTDA";10518676;2621381,28
"101";"FLASH RIO PRODUTOS PARA PANIFICACAO EIRELI ME";2796887;2594911,71
"102";"BR - A&B - EMPRESA DE ALIMENTACAO LTDA";20919046;2548225,5
"103";"RAUPP TRANSPORTES RODOVIARIO LTDA";3021596;2500299,99
"104";"FLORESTA COMERCIO E INDUSTRIA S/A";32500977;2474180,94
"105";"MVA TRANSPORTES LTDA";3666817;2473288,37
"106";"BELAMAZZA COMERCIO DE MAQUINAS LTDA ME";2980996;2441120,69
"107";"SOCIEDADE COMERCIAL E IMPORTADORA HERMES S/A";33068883;2424113,6
"108";"HENAMAR INDUSTRIA E COMERCIO DE TINTAS LTDA";3696074;2398625,46
"109";"OMNILIFE BRASIL COMERCIO DE PRODUTOS NUTRICIONAIS LTDA";5851883;2367327,62
"110";"INDIPEL INDUSTRIA DE ARTIGOS DE FESTA LTDA";73291866;2365707,29
"111";"TOP CHICLE COMERCIAL EIRELI ME";5622093;2362128,73
"112";"DSL COMERCIO VAREJISTA S/A";13204572;2302909,17
"113";"KARAPITO DA BEIRA COMERCIO DE ALIMENTOS LTDA";6267972;2290674,3
"114";"VIACAO ITAPEMIRIM S/A";27175975;2288836,98
"115";"WEPA FABRICA DE DEFUMADOS EIRELI";7480867;2244159,73
"116";"LATICINIOS MARILIA S/A";19278613;2234158,44
"117";"HORA INGLESA JOIAS E RELOGIOS LTDA";13519875;2227907,14
"118";"J ARAUJO DISTRIBUIDORA IMPORTACAO E EXPORTACAO S A";8365731;2220974,51
